District,Depth_mbgl,Year,Season
Jaipur,58.8,2022,Pre-Monsoon
Jaipur,43.6,2022,Pre-Monsoon
Jaipur,56.9,2022,Pre-Monsoon
Jaipur,37.1,2022,Pre-Monsoon
Jaipur,72.0,2022,Pre-Monsoon
Jaipur,90.5,2022,Pre-Monsoon
Jaipur,76.9,2022,Pre-Monsoon
Jaipur,71.9,2022,Pre-Monsoon
Jaipur,55.8,2022,Pre-Monsoon
Jaipur,65.4,2022,Pre-Monsoon
Jaipur,88.2,2022,Pre-Monsoon
Jaipur,72.2,2022,Pre-Monsoon
Jaipur,72.6,2022,Pre-Monsoon
Jaipur,43.1,2022,Pre-Monsoon
Jaipur,91.5,2022,Pre-Monsoon
Jaipur,47.8,2022,Pre-Monsoon
Jaipur,70.5,2022,Pre-Monsoon
Jaipur,87.2,2022,Pre-Monsoon
Jaipur,64.8,2022,Pre-Monsoon
Jaipur,68.8,2022,Pre-Monsoon
Jaipur,56.9,2022,Pre-Monsoon
Jaipur,85.7,2022,Pre-Monsoon
Jaipur,67.1,2022,Pre-Monsoon
Jaipur,63.1,2022,Pre-Monsoon
Jaipur,65.2,2022,Pre-Monsoon
Jaipur,76.8,2022,Pre-Monsoon
Jaipur,69.85,2022,Pre-Monsoon
Jaipur,86.5,2022,Pre-Monsoon
Jaipur,72.0,2022,Pre-Monsoon
Jaipur,90.25,2022,Pre-Monsoon
Jaipur,72.3,2022,Pre-Monsoon
Jaipur,56.4,2022,Pre-Monsoon
Jaipur,53.1,2022,Pre-Monsoon
Jaipur,71.1,2022,Pre-Monsoon
Jaipur,71.2,2022,Pre-Monsoon
Jaipur,44.65,2022,Pre-Monsoon
Jaipur,59.6,2022,Pre-Monsoon
Jaipur,62.4,2022,Pre-Monsoon
Jaipur,84.5,2022,Pre-Monsoon
Jaipur,79.5,2022,Pre-Monsoon
Jaipur,48.9,2022,Pre-Monsoon
Jaipur,68.0,2022,Pre-Monsoon
Jaipur,95.1,2022,Pre-Monsoon
Jaipur,67.9,2022,Pre-Monsoon
Jaipur,69.2,2022,Pre-Monsoon
Jaipur,81.1,2022,Pre-Monsoon
Jaipur,55.1,2022,Pre-Monsoon
Jaipur,49.6,2022,Pre-Monsoon
Jaipur,76.5,2022,Pre-Monsoon
Jaipur,66.0,2022,Pre-Monsoon
Jaipur,48.1,2022,Pre-Monsoon
Jaipur,69.8,2022,Pre-Monsoon
Jaipur,68.2,2022,Pre-Monsoon
Jaipur,51.7,2022,Pre-Monsoon
Jaipur,95.6,2022,Pre-Monsoon
Jaipur,67.7,2022,Pre-Monsoon
Jaipur,58.6,2022,Pre-Monsoon
Jaipur,56.8,2022,Pre-Monsoon
Jaipur,66.1,2022,Pre-Monsoon
Jaipur,59.3,2022,Pre-Monsoon
Jaipur,75.8,2022,Pre-Monsoon
Jaipur,78.1,2022,Pre-Monsoon
Jaipur,47.5,2022,Pre-Monsoon
Jaipur,57.8,2022,Pre-Monsoon
Jaipur,54.9,2022,Pre-Monsoon
Jaipur,65.1,2022,Pre-Monsoon
Jaisalmer,34.78,2022,Pre-Monsoon
Jaisalmer,82.2,2022,Pre-Monsoon
Jaisalmer,22.0,2022,Pre-Monsoon
Jaisalmer,63.4,2022,Pre-Monsoon
Jaisalmer,63.6,2022,Pre-Monsoon
Jaisalmer,51.75,2022,Pre-Monsoon
Jaisalmer,44.6,2022,Pre-Monsoon
Jaisalmer,98.65,2022,Pre-Monsoon
Jaisalmer,14.9,2022,Pre-Monsoon
Jaisalmer,43.7,2022,Pre-Monsoon
Jaisalmer,13.6,2022,Pre-Monsoon
Jaisalmer,61.21,2022,Pre-Monsoon
Jaisalmer,76.6,2022,Pre-Monsoon
Jaisalmer,42.4,2022,Pre-Monsoon
Jaisalmer,43.15,2022,Pre-Monsoon
Jaisalmer,55.95,2022,Pre-Monsoon
Jaisalmer,35.75,2022,Pre-Monsoon
Jaisalmer,45.36,2022,Pre-Monsoon
Jaisalmer,33.1,2022,Pre-Monsoon
Jaisalmer,39.07,2022,Pre-Monsoon
Jaisalmer,39.47,2022,Pre-Monsoon
Jaisalmer,95.3,2022,Pre-Monsoon
Jaisalmer,90.45,2022,Pre-Monsoon
Jaisalmer,32.4,2022,Pre-Monsoon
Jaisalmer,15.85,2022,Pre-Monsoon
Jaisalmer,73.53,2022,Pre-Monsoon
Jaisalmer,79.6,2022,Pre-Monsoon
Jaisalmer,34.0,2022,Pre-Monsoon
Jaisalmer,59.55,2022,Pre-Monsoon
Jaisalmer,64.26,2022,Pre-Monsoon
Jaisalmer,75.3,2022,Pre-Monsoon
Jaisalmer,58.82,2022,Pre-Monsoon
Jaisalmer,68.4,2022,Pre-Monsoon
Jaisalmer,74.66,2022,Pre-Monsoon
Jaisalmer,7.45,2022,Pre-Monsoon
Jaisalmer,48.0,2022,Pre-Monsoon
Jaisalmer,28.7,2022,Pre-Monsoon
Jaisalmer,48.3,2022,Pre-Monsoon
Jaisalmer,29.9,2022,Pre-Monsoon
Jaisalmer,7.85,2022,Pre-Monsoon
Jaisalmer,27.89,2022,Pre-Monsoon
Jaisalmer,37.55,2022,Pre-Monsoon
Jaisalmer,15.4,2022,Pre-Monsoon
Jaisalmer,33.0,2022,Pre-Monsoon
Jaisalmer,17.5,2022,Pre-Monsoon
Jaisalmer,14.7,2022,Pre-Monsoon
Jaisalmer,21.8,2022,Pre-Monsoon
Jaisalmer,29.55,2022,Pre-Monsoon
Jaisalmer,6.9,2022,Pre-Monsoon
Jaisalmer,8.9,2022,Pre-Monsoon
Jaisalmer,36.2,2022,Pre-Monsoon
Jaisalmer,51.9,2022,Pre-Monsoon
Jaisalmer,1.12,2022,Pre-Monsoon
Jaisalmer,47.9,2022,Pre-Monsoon
Jaisalmer,13.0,2022,Pre-Monsoon
Jaisalmer,62.7,2022,Pre-Monsoon
Jaisalmer,70.5,2022,Pre-Monsoon
Jaisalmer,39.5,2022,Pre-Monsoon
Jaisalmer,7.23,2022,Pre-Monsoon
Jaisalmer,10.6,2022,Pre-Monsoon
